2025-02-10 08:31:51,239 INFO    MainThread:13840 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-02-10 08:31:51,240 INFO    MainThread:13840 [wandb_setup.py:_flush():68] Configure stats pid to 13840
2025-02-10 08:31:51,240 INFO    MainThread:13840 [wandb_setup.py:_flush():68] Loading settings from C:\Users\user\.config\wandb\settings
2025-02-10 08:31:51,240 INFO    MainThread:13840 [wandb_setup.py:_flush():68] Loading settings from C:\Users\user\Downloads\PacMan\wandb\settings
2025-02-10 08:31:51,240 INFO    MainThread:13840 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-10 08:31:51,240 INFO    MainThread:13840 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\user\Downloads\PacMan\wandb\run-20250210_083151-5ggb6efj\logs\debug.log
2025-02-10 08:31:51,241 INFO    MainThread:13840 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\user\Downloads\PacMan\wandb\run-20250210_083151-5ggb6efj\logs\debug-internal.log
2025-02-10 08:31:51,241 INFO    MainThread:13840 [wandb_init.py:init():644] calling init triggers
2025-02-10 08:31:51,241 INFO    MainThread:13840 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'architecture': 'DQN', 'dataset': 'PACMAN', 'epochs': 100}
2025-02-10 08:31:51,241 INFO    MainThread:13840 [wandb_init.py:init():680] starting backend
2025-02-10 08:31:51,241 INFO    MainThread:13840 [wandb_init.py:init():684] sending inform_init request
2025-02-10 08:31:51,256 INFO    MainThread:13840 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-02-10 08:31:51,257 INFO    MainThread:13840 [wandb_init.py:init():697] backend started and connected
2025-02-10 08:31:51,258 INFO    MainThread:13840 [wandb_init.py:init():790] updated telemetry
2025-02-10 08:31:51,294 INFO    MainThread:13840 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-02-10 08:31:51,931 INFO    MainThread:13840 [wandb_init.py:init():874] starting run threads in backend
2025-02-10 08:31:52,013 INFO    MainThread:13840 [wandb_run.py:_console_start():2374] atexit reg
2025-02-10 08:31:52,013 INFO    MainThread:13840 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-02-10 08:31:52,013 INFO    MainThread:13840 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-02-10 08:31:52,013 INFO    MainThread:13840 [wandb_run.py:_redirect():2314] Redirects installed.
2025-02-10 08:31:52,017 INFO    MainThread:13840 [wandb_init.py:init():916] run started, returning control to user process
