2025-03-06 10:42:26,801 INFO    MainThread:7560 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-06 10:42:26,802 INFO    MainThread:7560 [wandb_setup.py:_flush():67] Configure stats pid to 7560
2025-03-06 10:42:26,802 INFO    MainThread:7560 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Talmid\.config\wandb\settings
2025-03-06 10:42:26,802 INFO    MainThread:7560 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Talmid\PacMan\wandb\settings
2025-03-06 10:42:26,802 INFO    MainThread:7560 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-06 10:42:26,802 INFO    MainThread:7560 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Talmid\PacMan\wandb\run-20250306_104226-cv1hotj1\logs\debug.log
2025-03-06 10:42:26,804 INFO    MainThread:7560 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Talmid\PacMan\wandb\run-20250306_104226-cv1hotj1\logs\debug-internal.log
2025-03-06 10:42:26,804 INFO    MainThread:7560 [wandb_init.py:init():761] calling init triggers
2025-03-06 10:42:26,805 INFO    MainThread:7560 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'DQN', 'dataset': 'PACMAN', 'epochs': 1000, 'batch_size': 500, 'gamma': 0.5, '_wandb': {}}
2025-03-06 10:42:26,805 INFO    MainThread:7560 [wandb_init.py:init():784] starting backend
2025-03-06 10:42:26,805 INFO    MainThread:7560 [wandb_init.py:init():788] sending inform_init request
2025-03-06 10:42:26,833 INFO    MainThread:7560 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-06 10:42:26,833 INFO    MainThread:7560 [wandb_init.py:init():798] backend started and connected
2025-03-06 10:42:26,834 INFO    MainThread:7560 [wandb_init.py:init():891] updated telemetry
2025-03-06 10:42:26,941 INFO    MainThread:7560 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-06 10:42:27,774 INFO    MainThread:7560 [wandb_init.py:init():990] starting run threads in backend
2025-03-06 10:42:27,884 INFO    MainThread:7560 [wandb_run.py:_console_start():2375] atexit reg
2025-03-06 10:42:27,884 INFO    MainThread:7560 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-06 10:42:27,884 INFO    MainThread:7560 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-06 10:42:27,884 INFO    MainThread:7560 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-06 10:42:27,888 INFO    MainThread:7560 [wandb_init.py:init():1032] run started, returning control to user process
